remote-sensing inversion	DierssenImageDiffuse
9	6
Comments: 
02/13/17	19:19:05
Image	debug\gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.hdr
Transect	debug\BathymetryImageDierssen_gail_15bands_7cm_jun222016_utmz33_reg_clip_new_badpixsmsk_bil_quac_spatialsubset20cm.txt
Params	Default
Alpha	0.01
NIter	5
Width/Height	5
X	Y	RRS555	RRS670	Depth	T	
305	555	2727.99	3955.95	0.186458	10.6675	
355	555	4965.75	4647.75	0.318525	8.24646	
405	555	2355.43	3124.46	0.208612	8.28448	
455	555	2934.99	3797.81	0.215172	9.04207	
505	555	0	0	-1.#IND	8.4582	
555	555	0	0	-1.#IND	9.62404	
605	555	2165.86	1330.44	0.513212	10.2714	
655	555	2239.35	1316.94	0.538027	11.6889	
705	555	0	0	-1.#IND	8.05716	
755	555	0	0	-1.#IND	9.64039	
805	555	2376.69	1502.09	0.497518	9.35491	
855	555	2411.6	1586.59	0.476056	8.28448	
905	555	2355.94	1568.28	0.46992	8.54943	
955	555	829.792	546.477	0.475519	8.07921	
1005	555	2031.98	1450.72	0.434706	10.964	
1055	555	0	0	-1.#IND	8.39433	
1105	555	0	0	-1.#IND	8.37115	
1155	555	0	0	-1.#IND	8.6513	
1205	555	0	0	-1.#IND	10.4143	
1255	555	0	0	-1.#IND	10.9077	
1305	555	2695.42	3585.57	0.207876	8.60606	
1355	555	4646.37	4413.87	0.312999	11.0674	
1405	555	2149.58	2934.37	0.201244	11.1917	
1455	555	2657.17	3741.91	0.19351	13.2995	
1505	555	1434.15	2544.49	0.143732	12.6974	
1555	555	1446.04	2644.6	0.138112	13.0361	
1605	555	1435.79	2661	0.135711	8.16246	
1655	555	1464.89	2613.63	0.142679	9.22833	
1705	555	1347.67	2461.37	0.138358	8.48442	
1755	555	1629.59	3130	0.12944	11.6988	
1805	555	1331.79	1830.65	0.199501	13.8431	
